"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1010500489","Воздушный фильтр","А","1","EFB480H150-W"
"2","1140101488","Тройной композитный штуцер","А","1","EL18LOMDCF"
"3","00773405210250000","Крышка люка","А","1",""
"4","1140107825","Штуцер","А","1","GE15LR1/2EDOMD 
CF"
"5","1040002436","Болт","А","4","JB/T5783-2000"
"6","1040302821","Шайба","А","4","GB/T96.1-2002"
"7","1040005851","Болт","А","2","JB/T5787-2000"
"8","1140101484","Тройной композитный штуцер","А","1","ET15LOMDCF"
"9","1140101466","Прямой соединитель","А","1","GE18LR3/4EDOMD 
CF"
"10","1140101628","Резьбовая заглушка","А","1","VSTI3/4EDCF"
"11","1040301515","Шайба","А","8","GB/T97.1-2002"
"12","1040004517","Болт","А","8","JB/T5783-2000"
"13","1019901470","Уровнемер-термометр","А","1","FSA-127-1.0/T/10"
"14","1010601742","Обратный масляный фильтр","А","1","RFMON165BB10A 
1,0"
"15","00773405210230000","Уплотняющая пластина","А","1",""
"16","00773405210210000","Корпус масляного бака","А","1",""
