"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040102751","Винт","А","2","GB/T70.1-2000"
"2","1040201904","Гайка","А","4","GB/T889.1-2015"
"3","1040303578","Шайба","А","6","GB/T96.1-2002"
"4","1040103109","Винт","А","2","GB/T70.1-2000"
"5","00773400700001061","Верхняя труба","А","2",""
"6","00773400700001150","Ребро","B","1",""
"7","1040301515","Шайба","А","12","GB/T97.1-2002"
"8","1040200503","Гайка","А","7","GB/T889.1-2000"
"9","1040301510","Шайба","А","4","JB/T93-1987"
"10","1040004517","Болт","А","4","JB/T5783-2000"
"11","1040004557","Болт","А","4","GB/T16674.1-2016"
"12","1040004519","Болт","А","1","JB/T5783-2000"
"13","00773500710400000","Кронштейн","А","1",""
"14","00773400700001050","Изогнутая монтажная панель","C","2",""
"15","00773400700001020","Гнездо резиновой трубы","C","2",""
"16","00773500710001040","Трубчатый желоб","B","1",""
"17","00773500710001010","Труба прямоугольного сечения","А","1",""
"18","00773500710001080","Механизм буксируемой цепи","B","1",""
