"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040301016","Шайба","B","40","GB/T97.1-2002"
"2","00773702803201032","Тяга аккумулятора I","А","1",""
"3","1040101980","Винт","А","32","GB/T70.1-2000"
"4","02564402800650000","Узлы нажимной плиты 
аккумулятора","А","1",""
"5","02564416520204010","Гнутая пластина I","А","1",""
"6","02564416520204020","Гнутая пластина II","А","1",""
"7","1030801256","Шина","А","2","33×12D610-R-ZC"
"8","1040303581","Шайба","А","4","GB/T96.1-2002"
"9","1040007502","Болт","А","20","JB/T5783-2000"
"10","1040302489","Шайба","B","36","GB/T97.1-2002"
"11","02564402800001180","Губка изоляции","А","1",""
"12","1040004590","Болт","А","4","JB/T5783-2000"
"13","1040202297","Гайка","А","36","GB/T6177.2-2000"
"14","1040202855","Гайка","А","4","GB/T889.1-2000"
"15","02564402800001120","Крышка заднего моста","B","2",""
"16","1040004519","Болт","А","4","JB/T5783-2000"
"17","1040004644","Болт","А","8","JB/T5783-2000"
"18","1040302490","Шайба","B","8","GB/T97.1-2002"
"19","1040006550","Болт","А","8","JB/T5783-2000"
"20","1040004033","Болт","А","8","JB/T5783-2000"
"21","02564402800001040","Нижняя крышка","B","1",""
"22","1030203018","Мотор-редуктор в сборе","А","4","ZFT7T119-301"
"23","02564402800001090","Крышка привода","B","1",""
"24","02564402801400000","Сварная деталь передней 
крышки рамы","B","1",""
"25","02564402800001030","Крышка клапана","C","1",""
"26","02564402802200000","Плавающий цилиндр","А","2",""
"27","02564402800001010","Монтажная панель блок 
клапанов шасси I","B","2",""
"28","02564402800200001","Сварная деталь рамы","B","1",""
"29","02564402800001161","Задняя крышка рамы","B","1",""
