"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02564400300400001","Стрела выдвижения-втягивания","B","1",""
"2","1040002434","Болт","А","20","JB/T5783-2016"
"3","00773400300001200","Стопорный штифт","F","2",""
"4","00773500310001030","Штифт телескопического 
цилиндра","B","2",""
"5","1040301515","Шайба","А","22","GB/T97.1-2002"
"6","1040103111","Винт","А","4","GB/T70.1-2000"
"7","00773500310001010","Прижимная пластина цилиндра","А","2",""
"8","02564400300600000","Гидроцилиндр выдвижения-
втягивания","А","1",""
"9","1040103076","Винт","А","8","GB/T70.3-2008"
"10","00773700400001290","Скоба","C","4",""
"11","00773400200001020","Подшипник","B","8",""
"12","","02564400300001020  Осеп выравнивающего цилиндра","А","1",""
"13","02564400300800000","Верхний гидроцилиндр 
выравнивания","А","1",""
"14","02564400300200001","Основная стрела","B","1",""
"15","02564400300001080","Подпирающая плита 
гидроцилиндра выдвижения-
втягивания","B","1",""
"16","1040302489","Шайба","B","38","GB/T97.1-2002"
"17","1040004565","Болт","А","2","JB/T5783-2016"
"18","02564400300001130","Шкворень II","А","1",""
"19","00773400200001070","Стопорный штифт","E","2",""
"20","1040004511","Болт","А","2","JB/T5783-2000"
"21","02564400301000000","Нижний гидроцилиндр 
выравнивания","А","1",""
"22","00773400200001010","Подшипник","C","4",""
"23","02564400301400000","Гидроцилиндр изменения 
вылета основной стрелы","А","1",""
"24","02564400300001070","Шкворень III","А","1",""
