"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"47","02564402820410001","Главная сварная конструкция 
правого корпуса бака","А","1",""
"48","1040303581","Шайба","А","8","GB/T96.1-2002"
"49","02564402800801020","Подставка электродвигателя II","B","1",""
"50","1040202856","Гайка","А","10","GB/T889.1-2000"
"51","1040000574","Болт","B","2","JB/T5783-2016"
"52","1040007536","Болт","А","10","JB/T5783-2000"
"53","1040200504","Гайка","А","2","GB/T889.1-2000"
"54","1040001122","Болт","А","2","JB/T5783-2000"
"55","1040300771","Шайба","А","2","GB/T97.1-2002"
"56","1040302489","Шайба","B","16","GB/T97.1-2002"
"57","1040202854","Гайка","А","2","GB/T889.1-2000"
"58","1040300514","Шайба","А","2","GB/T97.1-2002"
"59","1040001640","Болт","А","2","JB/T5783-2000"
"60","02564402800630000","Сварная деталь передней 
упорной планки батарейного 
ящика","А","1",""
"61","02564402800620000","Сварная деталь верхней крышки 
батарейного ящика","B","1",""
