"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"23","1040004032","Болт","А","4","JB/T5783-2000"
"24","1040303581","Шайба","А","4","GB/T96.1-2002"
"25","02564400800001060","Кронштейн трубопровода","B","1",""
"26","00773700800001610","Прокладка","А","2",""
"27","1040006550","Болт","А","3","JB/T5783-2000"
"28","00773400410001230","Стопорный штифт","C","3",""
"29","02564400800001030","Вал II","C","1",""
"30","1040104087","Винт","А","1","GB/T70.1-2000"
"31","1040002555","Болт","А","2","JB/T5783-2000"
"32","1040303579","Шайба","А","2","GB/T96.1-2002"
"33","02564400800001020","Вал I","B","2",""
"34","00773400820001032","Ограничивающая опора 
поворота","А","1",""
"35","00773400820001010","Блокировочный штифт поворота","B","1",""
"36","02564400810200002","Конструкция поворотной 
платформы","B","1",""
