"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","00773407000201290","Желтый треугольник","А","2",""
"2","00773407000201280","Синяя стрелка","А","3",""
"3","00773407000201300","Синий треугольник","А","2",""
"4","00773407000201340","Желтая стрелка","А","3",""
"6","02564407000201110","Опасность опрокидывания I","А","2",""
"7","00773407000201411","Точка крепления страховочного 
троса","А","4",""
"11","00773407000201141","Коробка управления рабочей 
платформой","B","1",""
"13","00773407010201031","Положение придерживания 
рукой","А","2",""
"15","02564407000201330","Целостная наклейка платформы 
ZA18JERT-V","А","1",""
"16","00773407000201221","Описание светового индикатора 
платформы","А","1",""
"19","00773407000201391","Сохраните руководство","А","1",""
"20","00773407000201181","Запрещается наступать","А","4",""
"21","00773407000201461","ИП переменного тока","А","1",""
"23","00773407000201381","Взрывоопасность II","А","2",""
"24","00773407000201151","Отключить аккумулятор","А","2",""
"41","00773407000201251","Стопорный штифт","А","2",""
