"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040004619","Болт","А","4","JB/T5783-2000"
"2","1040301515","Шайба","А","8","GB/T97.1-2002"
"3","00773700200001082","Щиток трубы","А","1",""
"4","00773700200001101","Зажимная планка трубопровода","А","2",""
"5","1040004590","Болт","А","4","JB/T5783-2000"
"6","1040301510","Шайба","А","4","JB/T93-1987"
"7","1040103133","Винт","А","8","GB/T70.3-2008"
"8","00773700200001090","Фиксирующий желоб для трубы","А","2",""
"9","00771400211200000","Подвижный трубный хомут","B","2",""
"10","00773700200400003","Верхний шатун","А","1",""
"11","00773400200001010","Подшипник","C","10",""
"12","02564400200800000","Гидроцилиндр консоли","А","1",""
"13","00773700200001050","Штифт","B","2",""
"14","00773400300001200","Стопорный штифт","F","6",""
"15","1040002433","Болт","А","6","JB/T5783-2000"
"16","00773700200001070","Штифт","D","1",""
"17","02564400200200001","Опора","А","1",""
"18","00773400200001020","Подшипник","B","2",""
"19","00773700400001290","Скоба","C","2",""
"20","1040103076","Винт","А","4","GB/T70.3-2008"
"21","00773700200001010","Подшипник","А","2",""
"22","00773700200001060","Штифт","B","2",""
"23","00773700200600000","Нижний шатун","А","2",""
"24","1010202355","Качающийся цилиндр","А","1","LS2-009-180- 
QMAJC(G2 
199700)"
