"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040200503","Гайка","А","12","GB/T889.1-2000"
"2","1110100355","Пневматическая пружина","А","4","550696"
"3","00773401100700000","Петля","А","4",""
"5","1040004520","Болт","А","20","JB/T5783-2000"
"6","1109900766","Дверной замок аккумулятора","А","1","50076-C38K"
"7","00773402809900004","Стробоскопическая лампа","А","1",""
"8","02564401110200000","Левой капота","А","1",""
"9","00773401110001013","Держатель левого замка","C","1",""
"10","00773400820001130","Шайба","А","4",""
"11","1040004517","Болт","А","8","JB/T5783-2000"
"12","1040302480","Шайба","B","40","GB/T96.1-2002"
"13","00773400820001120","Усиленная гнутая пластина","B","2",""
"14","02564401101000001","Левая упорная планка","А","1",""
"15","02564401110001040","Монтажный кронштейн","А","2",""
"16","1040004518","Болт","А","4","JB/T5783-2000"
"17","1040302512","Шайба","А","18","GB/T96.1-2002"
"18","00773401110201023","Круглая сталь пряжки","А","2",""
"19","1040004678","Дверной запорный болт","А","4","M10×70"
"20","1040300771","Шайба","А","14","GB/T97.1-2002"
"21","1040200113","Гайка","А","16","JB/T6170-2000"
"22","1040301515","Шайба","А","4","GB/T97.1-2002"
"25","1100700163","Дверная ручка","А","2","26983--09"
"27","1040201089","Гайка","А","16","JB/T6170-2000"
"28","1040002435","Болт","А","10","JB/T5783-2016"
