"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"13","1029802085","Нейлоновая заглушка","А","10","DPK-M12B"
"14","1020520994","Рычаг","А","1","D10BHD2AK4ZOZ LG"
"15","1020521445","Качающийся переключатель","А","6","TN8A_107EY_N_C/H01"
"16","1990900004","Табличка аварийной остановки","А","1","ZB2BY9330"
"17","1020810958","Качающийся переключатель","А","1","TN8A_108EY_N_C/H01"
"18","1020520995","Потенциометр","А","1","DD40HS1ZLG"
"19","1040300514","Шайба","А","8","GB/T97.1-2002"
"20","1020521443","Качающийся переключатель","А","1","TN8A_101EY_N_C/H01"
"21","1040001122","Болт","А","8","JB/T5783-2000"
"22","1029907958","Панель индикаторов 
сигнализации","А","1","DL-LD14G-ZL-T12- 
V1.0 1"
"23","1020502039","Кнопка аварийной остановки","А","1","ZB2-BT4C"
"24","1020520993","Рычаг","А","1","D10AHS2AK2ZOZ LG"
"25","1029907663","Водонепроницаемый чехол","А","1","D-15-PBM-12M"
"26","1020521444","Качающийся переключатель","А","1","TN8A_103EY_N_C/H01"
