"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"8","1054600077","Игольчатый подшипник","А","8","JB/T5801-2006"
"9","02564400100401020","Вал","B","4",""
"10","02564400100401010","Шатун","B","2",""
"11","00773400130401040","Прокладка I","А","8",""
"12","1040006458","Усиленный бол с полукруглой 
головкой квадратным диаметром","А","1","JB/T794-1993"
"13","1040201381","Гайка","А","1","JB/T6170-2000"
"14","1040302490","Шайба","B","4","GB/T97.1-2002"
"15","00773400100401040","Вкладыш","А","1",""
"16","1040301515","Шайба","А","7","GB/T97.1-2002"
"17","1040103112","Винт","А","7","GB/T70.1-2000"
"18","1040007563","Болт","А","1","JB/T5782-2000"
"19","00773400100401030","Регулировочная шайба","А","2",""
"20","1040301511","Шайба","А","1","GB/T97.1-2002"
"21","1040201111","Гайка","А","1","JB/T889-1986"
"22","1040202857","Гайка","А","2","GB/T889.1-2000"
"23","1040001703","Болт","B","2","JB/T5782-2000"
"24","00773400130401060","Прокладка III","C","2",""
"25","1040200503","Гайка","А","4","GB/T889.1-2000"
"26","1080000005","Масленка","А","8","JB/T7940.1-1995"
"27","02564400100401031","Пластина хомута","А","4",""
"28","1040004646","Болт","А","4","JB/T5783-2000"
"29","02564400100420000","Сварная деталь кронштейна","B","1",""
"30","02564400100410003","Переходный держатель","А","1",""
"31","1040006525","Болт","А","8","QC/T340-1999"
