"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040004556","Болт","А","4","GB/T16674.1-2016"
"2","00772700100001020","Каучуковая прокладка","B","2",""
"3","1040200504","Гайка","А","4","GB/T889.1-2000"
"4","1040004508","Болт","А","4","JB/T5783-2000"
"5","1040302821","Шайба","А","6","GB/T96.1-2002"
"6","1040005852","Болт","А","2","JB/T5787-2000"
"7","1040302512","Шайба","А","8","GB/T96.1-2002"
"33","1999904986","Коробка для файлов","А","1","ZJ1145029"
"45","1040300771","Шайба","А","18","GB/T97.1-2002"
"46","1040201896","Гайка","А","16","GB/T889.1-2015"
"47","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","А","6","GB/T70.1-2000"
"60","1040300735","Шайба","А","12","GB/T96.1-2002"
"62","00771100110201011","Упорная планка","А","1",""
"63","1040102017","Винт","А","8","GB/T70.1-2000"
