"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"2","00773407000201280","Синяя стрелка","А","3",""
"4","00773407000201340","Желтая стрелка","А","3",""
"6","02564407000401110","Опасность опрокидывания I","B","2",""
"8","00773407000401321","Опасность столкновения II","А","4",""
"12","02564407000401530","Маркировка капота ZA16JERT","А","1",""
"14","00773407010401021","Опасность защемления","А","2",""
"17","00773407000401081","Описание светового индикатора 
земли","А","1",""
"18","00771407000201120","Логотип ZOOMLIN  Ⅰ","А","1",""
"22","02564407000401020","Модель машины LOGO-II","А","1",""
"25","00773407000201010","Логотип ZOOMLIN  Ⅰ","А","3",""
"26","00773407000201421","Точка обвязки","А","8",""
"27","00773407000201241","Подъем запрещен","А","2",""
"28","02564407000401010","Модель машины LOGO-I","А","2",""
"30","00773407000401191","Опасность раздавливания","А","4",""
"31","00773407000401311","Опасность опрокидывания II","А","2",""
"32","00773407000201431","Точка подъема","А","4",""
"39","00773407010401501","Опасность поражения 
электрическим током","А","1",""
"43","00771407000401191","QR-код","А","1",""
