"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02564400300400001","Стрела выдвижения-втягивания","B","1",""
"2","1040002434","Болт","А","20","JB/T5783-2016"
"16","1040302489","Шайба","B","38","GB/T97.1-2002"
"19","00773400200001070","Стопорный штифт","E","2",""
"20","1040004511","Болт","А","2","JB/T5783-2000"
"33","1040300771","Шайба","А","15","GB/T97.1-2002"
"35","1040002433","Болт","А","18","JB/T5783-2000"
"37","00771900301801051","Регулировочная шайба","А","24",""
"38","00773400312800000","Узлы ползуна","B","12",""
"42","00773400312600000","Узлы ползуна","B","4",""
"43","00773400300001101","Регулировочная шайба (3 мм))","А","4",""
"47","02564400300001050","Шкворень I","А","1",""
"48","1040103038","Винт","А","4","GB/T70.1-2000"
"49","00773400300001280","Кожух селекторного клапана 
платформы","E","1",""
