"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"2","1040002434","Болт","А","20","JB/T5783-2016"
"5","1040301515","Шайба","А","22","GB/T97.1-2002"
"14","02564400300200001","Основная стрела","B","1",""
"16","1040302489","Шайба","B","38","GB/T97.1-2002"
"25","00773400310001200","Маленькая крышка","А","1",""
"26","1040004517","Болт","А","4","JB/T5783-2000"
"27","1040200503","Гайка","А","7","GB/T889.1-2000"
"28","00773500310001060","Пластина для крепления 
ползуна","C","2",""
"29","00773500310001050","Буксируемая цепь ползуна","А","2",""
"30","1040004523","Болт","А","7","JB/T5783-2000"
"31","00773400300001210","Подшипник","А","2",""
"32","00773700302400001","Защитный кожух","А","1",""
"33","1040300771","Шайба","А","15","GB/T97.1-2002"
"34","1040102778","Винт","А","3","GB/T70.1-2000"
"35","1040002433","Болт","А","18","JB/T5783-2000"
"36","02564400301800001","Верхняя пылезащитная щетка","C","1",""
"37","00771900301801051","Регулировочная шайба","А","24",""
"38","00773400312800000","Узлы ползуна","B","12",""
"39","02564400301200001","Боковая щетка","B","2",""
"40","1040002738","Болт","А","4","JB/T5783-2000"
"41","02564400300001271","Защитный кожух датчика","B","1",""
"42","00773400312600000","Узлы ползуна","B","4",""
"43","00773400300001101","Регулировочная шайба (3 мм))","А","4",""
"44","1040201896","Гайка","А","2","GB/T889.1-2015"
"45","02564400302000001","Нижняя пылезащитная щетка","B","1",""
"46","1040001640","Болт","А","2","JB/T5783-2000"
