"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","00773407000201290","Желтый треугольник","А","2",""
"2","00773407000201280","Синяя стрелка","А","3",""
"3","00773407000201300","Синий треугольник","А","2",""
"4","00773407000201340","Желтая стрелка","А","3",""
"5","00773407000401271","Запрещается промывать водой","А","2",""
"6","02564407000401110","Опасность опрокидывания I","B","2",""
"7","00773407000201411","Точка крепления страховочного 
троса","А","4",""
"8","00773407000401321","Опасность столкновения II","А","4",""
"9","00773407000401201","Запрещается крепить трос","А","3",""
"10","00773407000401231","Опасность отказа педали","B","1",""
"11","00773407000401141","Коробка управления рабочей 
платформой","А","1",""
"13","00773407010401031","Положение придерживания 
рукой","А","2",""
"15","02564407000401330","Целостная наклейка платформы 
ZA16JERT","B","1",""
"16","00773407000401221","Описание светового индикатора 
платформы","А","1",""
"19","00773407000401391","Сохраните руководство","А","1",""
"20","00773407000201181","Запрещается наступать","А","4",""
"21","00773407000401461","ИП переменного тока","А","1",""
"23","00773407000401381","Взрывоопасность II","А","2",""
"24","00773407000401151","Отключить аккумулятор","А","2",""
"26","00773407000201421","Точка обвязки","А","8",""
"27","00773407000201241","Подъем запрещен","А","2",""
"41","00773407000401251","Стопорный штифт","А","2",""
"42","00775607000401321","Знак неизоляции","А","2",""
