"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040004596","Болт","А","2","JB/T5782-2000"
"2","1040301515","Шайба","А","7","GB/T97.1-2002"
"3","1040202855","Гайка","А","6","GB/T889.1-2000"
"4","02564300800001010","Монтажная пластина 
соединения","А","1",""
"5","00774100800001140","Резиновая прокладка ящика 
электрического управления","А","2",""
"6","1040004519","Болт","А","4","JB/T5783-2000"
"7","1040303580","Шайба","А","12","GB/T96.1-2002"
"8","1040004518","Болт","А","4","JB/T5783-2000"
"9","1040003252","Винт с цилиндрической головкой 
и внутренней шестигранью","А","4","GB/T70.1-2000"
"10","02564400400001120","Направляющий блок","А","2",""
"11","1040004590","Болт","А","3","JB/T5783-2000"
"12","00774000801600000","Опора бандажа","А","1",""
"13","02564400800001050","Регулировочная шайба","B","2",""
"14","1040004033","Болт","А","2","JB/T5783-2000"
"15","1040302489","Шайба","B","2","GB/T97.1-2002"
"16","00773500800400000","Узлы через трубопровод","D","1",""
"17","1040200503","Гайка","А","2","GB/T889.1-2000"
"18","00773500800401021","Гнездо резиновой трубы","А","1",""
"19","1040000135","Болт","А","2","JB/T5783-2000"
"20","1040301515","Шайба","А","2","GB/T97.1-2002"
"21","00773500800401013","Гнутая пластина I","А","1",""
"22","02564400800001011","Держатель электрического 
шкафа управления","А","1",""
