"Item","Part No.","Description","Qty."
"1","00000781","Circlips  JB/ZQ 4342-25","36"
"2","10001404","Washer","34"
"3","00000559","899-25136  Pin","6"
"4","00000561","899-25502  Pin","1"
"5","10001420","Platform slider","2"
"6","10004340","Cable bridge","1"
"7","00000560","899-25468  Pin","10"
"8","00001034","Screw  GB/T 70.1  M6×25","4"
"9","00000621","Washer  GB/T 93  6","4"
"10","00000620","Washer  GB/T 97.1  6","4"
"11","10002310","Lock plate","2"
"12","10002308","Cable bridge","1"
"13","10002309","Pin","1"
"14","","Upper lift cylinder assembly (without seal kit) (refer to 
402.1)","1"
"15","10002307","Cable bridge","2"
"16","10001403","Safety arm bushing","2"
"17","10001402","Safety arm","2"
"18","00002866","Bolt  QC/T 340  M6×20","2"
"19","10002302","Inner arm 2","1"
"20","10005735","Inner arm 1","1"
"21","00002569","Bolt  GB/T 16674  M6×55","4"
"22","00002574","Nut  GB/T 6183.1  M6","6"
"23","00003062","8822-25265  Bearing","28"
"24","00002334","896B-25×14  Pin","2"
"25","10002311","Chassis slider","2"
"26","10002304","Outer arm 1","1"
"27","00000832","Screw  GB/T 70.3  M6×25","4"
"28","10001400","Pothole pusher","1"
