"Item","Part No.","Description","Qty."
"1","10001245","Upper extension rail, left","1"
"2","00002573","Nut  GB/T 6183.1  M5","4"
"3","50000555","Manual box","1"
"4","10001266","Front rail","1"
"5","00002523","Screw  GB/T 973  M5×16","4"
"6","10001178","Inserted pin","2"
"7","00001991","Rivet  GB/T 12618.4  4.8×16","2"
"8","00002581","Bolt  GB/T 16674  M6×50","6"
"9","00002574","Nut  GB/T 6183.1  M6","6"
"10","10001247","Upper extension rail, right","1"
"11","10012846","Extension deck weldment","1"
"12","00000816","Bolt  GB/T 5783  M12×25","2"
"13","00000815","Washer  GB/T 93  12","2"
"14","00000814","Washer  GB/T 97.1  12","2"
"15","10012174","Platform locking device assembly (refer to 303.1)","1"
"16","00000887","Circlips  GB/T 893.1-47","2"
"17","00001295","Bearing  GB/T 276-1994 - 6204","2"
"18","10002054","Roller","2"
"19","10000046","Slide pad","2"
"20","00002337","Screw  GB/T 819  M5×12 - H","8"
"21","10000307","Roller bracket","2"
"22","00001155","Screw  GB/T 70.3  M8×55","8"
"23","10000376","Bumper","2"
"24","00000607","Screw  GB/T 818  M5×12 - H","2"
