"Item","Part No.","Description","Qty."
"1","09340001","Decal, Notice-Keep the manual with the machine","1"
"2","09440003","Decal, Danger-Tip-over hazard, tilt-alarm","1"
"3","09440037","Decal, Danger-General safety rules","1"
"4","09340005","Decal, Instructions-Platform controller normal position","1"
"5","09340003","Decal,  Instructions-Refer  the  operator  to  the  instructions 
for use","2"
"6","09440335","Decal, Label-Capacity 500 lbs    227kg","2"
"7","09440005","Decal, Warning-Use indoors only","2"
"8","09310001","Decal, Instructions-Forklift pockets","2"
"9","09310003","Decal, Instructions-Tie down point","4"
"10","09310002","Decal, Instructions-Lift point","4"
"11","09310033","Decal, Instructions-Maximum wheel load 1254 lbs    570kg","4"
"12","09310004","Decal, Instructions-Emergency lower","1"
"13","09410017","Decal, Warning-Change battery","1"
"14","09310034","Decal, Notice-Main power switch operation","1"
"15","09330001","Decal, Instructions-Safety arm","2"
"16","09440301","Decal, Caution-Max. manual force 90 lbs    400N","2"
"17","09640009","Decal, Cosmetic-JCPT0708DCS","2"
"18","09440011","Decal, Label-Lanyard anchorage point","3"
"19","09410001","Decal, Danger-Explosion/burn hazard","1"
"20","09410003","Decal, Warning-Inspected and operation properly","1"
