"NO.","Material No.","Item and Spec","Units","Remark"
"1","1054400310","Composite bush 
44×38×30","16",""
"2","00775600300001140","Gasket","13",""
"3","00775600300400000","Internal scissor arm I","1",""
"4","00775600300200000","External scissor arm I","1",""
"5","00775600301000000","Internal scissor arm II","1",""
"6","00775600300600000","External scissor arm II","2",""
"7","00775400330200000","Internal scissor arm III","1",""
"8","00775600302200000","Internal scissor arm VI","1",""
"9","00775600302400000","External scissor arm VI","1",""
"10","1054400309","Composite bush 
44×38×50","4",""
"11","00775600300001080","End pipe trunking II","2",""
"12","00775600302800000","External scissor armVII","1",""
"13","00775600300800000","External scissor arm III","1",""
"14","1054400311","Composite bush 
44×38×20","8",""
"15","00775600300001120","Spacer, bearing","4",""
"16","1040200504","Nut M10-8","14","GB/T889.1-2000"
"17","1040000025","Bolt M10×80-8.8","14","GB/T5782-2000"
"18","00775600300001020","Axle II","4",""
"19","1040300984","Retaining ring38","12","GB/T894.1-1986"
"20","00775600300001010","Axle I","8",""
"21","00775600300001070","End pipe trunking I","2",""
"22","00775600300001100","Nylon cover II","12",""
"23","1990201051","Clamp","6",""
"24","00775600300001040","Axle IV","2",""
"25","1040000689","Bolt M8×35-8.8","2","GB/T5782-2000"
"26","00775600000001050","Articulated pin","2",""
"27","1040200503","Nut M8-8","4","GB/T889.1-2000"
