"NO.","Material No.","Item and Spec","Units","Remark"
"16","00775602801601020","Threaded rod 
(ZS1414DC/HA/AC 
ZS1212DC/HA/AC)","1",""
"","00775502800201010","Threaded rod 
  (ZS1012DC/HA/AC 
ZS0812DC/HA)","1",""
"17","00775602800601010","","1",""
"18","00775602800601030","Cushion rubber","1",""
"19","1040100519","Screw M12×80-8.8","1","GB/T70.1-2000"
"20","1040300054","Washer 12","1","GB/T93-1987"
"21","1040200503","Nut M8","3","GB/T889.1-2000"
"22","1040100886","Screw M8×20","1","GB/T70.1-2008"
"23","1040200506","Nut M6-8","8","GB/T889.1-2000"
"24","1040100055","Screw M6×20-8.8","2","GB/T70.1-2000"
"25","1040201605","Locknut M4-8","1","GB/T889.1-2000"
"26","1040102716","Screw M4×35","1","GB/T70.1-2000"
"27","00775602801601050","Limit plate I","1",""
"28","1040100237","Screw M6×30-8.8","6","GB/T70.1-2000"
"29","00775602801601060","Limit plate II","1",""
"30","1040000288","Bolt M8×25-8.8","1","GB/T5783-2000"
"31","1020304978","Basin shaped horn","1",""
"32","1020304982","Buzzer","1",""
"33","1020300083","Common relay 
(ZS1414/1212/1012/0812DC)","1",""
"","1020305334","Common relay 
(ZS1414/1212/1012/0812HA 
ZS1414/1212/1012AC)","1",""
