"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040100421","Screw M8×20-8.8","6","GB/T70.3-2000"
"2","00775302810210000","Hydraulic Tray box 
（ZS0607AC Series）","1",""
"","00775302880410000","Hydraulic Tray box 
ZS0607HA Series）","1",""
"3","1010305936","Control valve（ZS0607HA）","1",""
"","1010306182","Control valve（ZS0607HA-Li）","1",""
"","1010306187","Control valve（ZS0607AC）","1",""
"","1010306289","Control valve（ZS0607AC-Li）","1",""
"4","1010001885","Hydraulic pump","1",""
"5","1040300067","Washer 10","2","GB/T93-1987"
"6","1040004607","Bolt 3/8-24UNF-1-10.9","2","ASME B18.2.1-
2010"
"7","1020005153","Motor（ZS0607AC Series）","1",""
"","1020005748","Hydraulic pump drive motor
（ZS0607HA Series）","1",""
"8","1040005783","Screw 1/4-20UNC×15-8.8","4","ASME B18.2.1-
2010"
"9","1040200304","Nut M6-8","4","GB/T889-1986"
"10","1020104201","Motor driver（ZS0607HA Series）","1",""
"","1020104202","Motor driver（ZS0607AC Series）","1",""
"11","1040300051","Washer 6","2","GB/T97.1-2002"
"12","1011300149","Tank","1",""
"13","1040004508","Bolt M10×45-8.8","2","GB/T5783-2000"
"14","1040200504","Nut M10","2","GB/T889.1-2000"
"15","1040301697","Washer 4","2","GB/T97.1-2002"
"16","1040300044","Washer 4","2","GB/T93-1987"
"17","1029804041","Screw M4×25-4.8","2","GB/T70.1-2000"
"18","1020521389","Key switch","1",""
"19","1020304979","Breaker","1",""
"20","1020502039","Emergency stop button","1",""
"21","1020104088","Ground control assembly","1",""
