"NO.","Material No.","Item and Spec","Units","Remark"
"21","1040100127","Screw M6×12-8.8","2","GB/T70.1-2000"
"22","00775602800001040","End cover","2",""
"23","1040200503","Nut M8-8","1","GB/T889.1-2000"
"24","1990201348","Cover plate","1",""
"25","1019901543","Twin tube clamp","1",""
"26","1990201778","Twin tube clamp","1",""
"27","1040100501","Screw M8×100-8.8","1","GB/T70.1-2000"
"28","1040005784","Bolt M12×1.5×35-8.8","10","GB/T16674.2-2004"
"29","1040300048","Washer 5-200HV","10","GB/T97.1-2002"
"30","1040300060","Washer 5","10","GB/T93-1987"
"31","1040100378","Screw M5×20-8.8","6","GB/T70.1-2000"
"32","1020605470","Braking resistor","1",""
"33","00775302830001020","Resistance cover","1",""
"34","1020202270","Brake Module","1",""
"35","00775302830001010","Brake cover","1",""
"36","1040102341","Screw M5×12-8.8","4","GB/T70.1-2000"
