"NO.","Material No.","Item and Spec","Units","Remark"
"1","1030800592","Tire","2",""
"2","1040500535","Split pin 4×80","2","GB/T91-2000"
"3","1040000225","Bolt M12×90-8.8","8","GB/T5783-2000"
"4","1040300526","Washer 12","12","GB/T97.1-2002"
"5","1040200507","Nut M12-8","12","GB/T889.1-2000"
"6","1019901335","Brake","2",""
"7","1029907622","Vehicle-mounted battery 
charger   
(ZS0607HD/HA)","1",""
"","1029907624","Vehicle-mounted battery 
charger   
(ZS0607HD-Li/HA-Li)","1",""
"8","00775306320410000","Battery charger Tray","1",""
"9","00775302802200000","Ladder","1",""
"10","1040004201","Bolt M12×40-8.8","4","GB/T801-1998"
"11","00775602801601010","Coil III","1",""
"12","1010305937","Manual pump","1",""
"13","1040300067","Washer 10","2","GB/T93-1987"
"14","1040300061","Washer 10","2","GB/T97.1-2002"
"15","1040000970","Bolt 3/8－16UNC-30-8.8","2",""
"16","1100700162","T handle (Red)","1",""
"17","1040100055","Screw M6×20-8.8","2","GB/T70.1-2000"
"18","1040300051","Washer 6","6","GB/T97.1-2002"
"19","00775605200401030","Lower stay wire bracket","1",""
"20","1040200506","Nut M6-8","2","GB/T889.1-2000"
"21","00775302800001070","Protective cover","1",""
"22","1040100127","Screw M6×12-8.8","4","GB/T70.1-2000"
"23","00775602800001180","Coil II","2",""
"24","00775602801601040","Protecting bush II","1",""
"25","00775302802400000","Box holder","1",""
"26","1020605443","Residual current circuit breaker","1",""
