"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775200102800000","Lower components","1",""
"2","1040101640","Screw M3×10-A2-70","1","GB/T818-2000"
"3","1040201166","Nut M3-A2-70","2","GB/T6170-2000"
"4","00775200102400000","Guard rails IV","2",""
"5","1040200503","Nut M8-8","4","GB/T889.1-2000"
"6","1040300066","Washer 8","10","GB/T97.1-2002"
"7","1040000469","Bolt M8×55-8.8","6","GB/T5782-2000"
"8","1040200867","Nut M5","6","GB/T889.1-2000"
"9","1040102341","Screw M5×12-8.8","6","GB/T70.1-2000"
"10","00775606300801010","Power mounting plate","1",""
"11","00775206650810000","Platform AC assembly","1",""
"12","1100400025","D Pin 6.3×55","2",""
"13","00775200100800000","Guard rails III","1",""
"14","1101000163","Spring hinge","2",""
"15","00775200101000000","Platform gate","1",""
"16","1040200506","Nut M6-8","12","GB/T889.1-2000"
"17","1040300051","Washer 6","24","GB/T97.1-2002"
"18","1040002803","Bolt M6×50-8.8","12","GB/T5782-2000"
"19","00775600102200000","Mounting pulley 
assembly","2",""
"20","00775600100001020","Gasket I","2",""
"21","00775600102400000","Platform pin mounting 
base","2",""
"22","1040102718","Screw M8×50-8.8","8","GB/T70.3-2000"
