"NO.","Material No.","Item and Spec","Units","Remark"
"1","1010201628","Upper  lift cylinder","1",""
"2","1040102034","Screw M8×60-10.9","8","GB/T70.1-2000"
"3","1040300063","Washer 8","8","GB/T93-1987"
"4","1010306629","Cylinder  control valve 
(ZS1012HD/1012DC)","1",""
"","1010306626","Cylinder  control valve 
(ZS1012HD-Li/1012DC-Li)","1",""
"5","1990201051","Clamp  φ60-φ80","12",""
"6","00775600300001100","Nylon  cover II","24",""
"7","00775500300001010","End pipe  trunking III","2",""
"8","1089900652","Sealing  strip16×3","1.35",""
"9","1040000114","Bolt  M10×25-8.8","6","GB/T5782-2000"
"10","00775600300001060","Support rod","4",""
"11","00775600300001050","Nylon  cover I","1",""
"12","1040200504","Nut M10-8","6","GB/T889.1-2000"
"13","1010306624","Cylinder  control valve 
(ZS1012HD/1012DC)","1",""
"","1010306622","Cylinder  control valve 
(ZS1012HD-Li/1012DC-Li)","1",""
"14","1040300051","Washer 6","5","GB/T97.1-2002"
"15","1040300062","Washer 6","3","GB/T93-1987"
"16","1040100127","Hexagon  screw M6×12","3","GB/T70.1-2000"
"17","00775605200401010","Upper  stay wire bracket","1",""
"18","00775605200401020","Stay wire lever","1",""
"19","1040100055","Screw M6×20-8.8","1","GB/T70.1-2000"
"20","1040200506","Nut M6-8","1","GB/T889.1-2000"
"21","1040200867","Nut M5-8","2","GB/T889.1-2000"
"22","1040300159","Washer 5","1","GB/T96.1-2002"
"23","1019901444","Stay wire","1",""
"24","1040201842","Connecting nut M8-M5","1",""
"25","1100700162","T handle  (Red)","1",""
"26","1010201629","Lower lift  cylinder","1",""
"27","1040000101","Bolt  M12×40-8.8","8","GB/T5782-2000"
"28","00775600302600000","Pressing plate","2",""
"29","1040200507","Nut M12-8","8","GB/T889.1-2000"
"30","00775600300001110","Plastic pad","32",""
