"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040201078","Nut M8","2","GB/T6170-2000"
"2","1040300063","Washer 8","1","GB/T93-1987"
"3","1040300066","Washer 8-200 HV","1","GB/T97.1-2002"
"4","00775202800801040","Plate","1",""
"5","00775202800801050","Cushion rubber","1",""
"6","00775202800801030","Screw post","1",""
"7","1020903382","Battery","2",""
"8","1010002079","Power unit","1",""
"9","1040100097","Screw M10×30-8.8","4",""
"10","00775202800810000","Tray box","1",""
"11","00775202800801020","T-plate II","1",""
"12","1040300067","Washer 10","2","GB/T93-1987"
"13","1020605226","Continuous-flow protector","2",""
"14","1040300051","Washer 6-200HV","18","GB/T97.1-2002"
"15","1040300062","Washer 6","16","GB/T93-1987"
"16","1040100055","Screw M6×20-8.8","10","GB/T70.1-2000"
"17","1020300083","Common relay","1",""
"18","00775202800821010","Installation  pad","1",""
"19","1020604246","Fuse","1",""
"20","1040100614","Screw M5×14-8.8","2",""
"21","1040300048","Washer 5-200 HV","4","GB/T97.1-2002"
"22","1040301508","Washer 5","2","GB/T93-1987"
