"Item","Part No.","Description","Qty."
"20","09640134","Decal, Cosmetic-JCPT1612HA (JCPT1612HA)","2"
"","09640135","Decal, Cosmetic-JCPT1612AC (JCPT1612AC)","2"
"","09640119","Decal, Cosmetic-JCPT1612HAS (JCPT1612HAS)","2"
"","09640118","Decal, Cosmetic-JCPT1612ACS (JCPT1612ACS)","2"
"","09640116","Decal, Cosmetic-JCPT1614HA (JCPT1614HA)","2"
"","09640117","Decal, Cosmetic-JCPT1614AC (JCPT1614AC)","2"
"21","09440212","Decal, Warning-Crushing hazard","2"
"22","09410005","Decal, Danger-Do not alter or disable limit switch","1"
"23","09310004","Decal, Instructions-Emergency lower","1"
"24","09410003","Decal, Warning-Inspected and operation properly","1"
