"Item","Part No.","Description","Qty."
"19","09640134","Decal, Cosmetic-JCPT1612HA (JCPT1612HA)","2"
"","09640135","Decal, Cosmetic-JCPT1612AC (JCPT1612AC)","2"
"","09640119","Decal, Cosmetic-JCPT1612HAS (JCPT1612HAS)","2"
"","09640118","Decal, Cosmetic-JCPT1612ACS (JCPT1612ACS)","2"
"","09640116","Decal, Cosmetic-JCPT1614HA (JCPT1614HA)","2"
"","09640117","Decal, Cosmetic-JCPT1614AC (JCPT1614AC)","2"
"20","09440212","Decal, Warning-Crushing hazard","2"
"21","09410051","Decal, Symbols-Do not alter or disable limit switch","1"
"22","09310003","Decal, Instructions-Tie down point","4"
"23","09310002","Decal, Instructions-Lift point","4"
"24","09310096","Decal, Symbols-Emergency lower","1"
"25","09410050","Decal, Symbols-Injection hazard","1"
"26","09310098","Decal, Symbols-Platform power instructions","1"
