"Item","Part No.","Description","Qty."
"1","00008020","ECU Harness","1"
"2","00008037","Lowering valve harness (JCPT1412HA)","1"
"","00008586","Lowering valve harness (JCPT1612HAS)","1"
"","00008039","Lowering valve harness (JCPT1612HA, JCPT1614HA)","1"
"3","00008040","Pressure sensor harness (JCPT1412HA, JCPT1612HAS) 
(matching with 00007393 pressure sensor)","1"
"","00008373","Pressure sensor harness (JCPT1412HA, JCPT1612HAS) 
(matching with 00000696 pressure sensor)","1"
"","00008041","Pressure sensor harness (JCPT1612HA, JCPT1614HA) 
(matching with 00007393 pressure sensor)","1"
"","00008375","Pressure sensor harness (JCPT1612HA, JCPT1614HA) 
(matching with 00000696 pressure sensor)","1"
"4","00007701","Platform control box harness (JCPT1412HA)","1"
"","00007716","Platform control box harness (JCPT1612HA, JCPT1614HA)","1"
"","00008547","Platform control box harness (JCPT1612HAS)","1"
"5","00008035","Limit switch harness (JCPT1412HA, JCPT1612HAS)","1"
"","00008034","Limit switch harness (JCPT1612HA, JCPT1614HA)","1"
"6","00007496","Power harness","1"
"7","00007677","Power harness","1"
"8","00008029","Battery harness (JCPT1412HA, JCPT1612HAS)","1"
"","00008027","Battery harness (JCPT1612HA, JCPT1614HA)","1"
"9","00007356","Power harness","1"
"10","00010584","Battery harness","4"
"11","00010585","Battery harness","1"
