"Item","Part No.","Description","Qty."
"27","00000787","Circlips 
JB/ZQ 4342-38","12"
"28","10019581","Inner arm 1","1"
"29","00000439","8813-38.1×44.45×50.8  Bearing","6"
"30","10002371","Pin","1"
"31","00008962","Hose clamp","2"
"32","10000047","Base plate","2"
"33","00002575","Nut  GB/T 6183.1  M8","2"
"34","00002089","Bolt  GB/T 5782  M8×50","2"
"35","10014454","Cable bridge","2"
"36","10011771","Clamp","4"
"37","10000260","Safety arm bushing","2"
"38","10000259","Safety arm","2"
"39","00005263","Bolt  QC/T 340  M10×30","3"
"40","00000565","898-38.1×199.5  Pin","2"
"41","00000822","Screw  GB/T 70.3  M5×16","4"
"42","10011770","Collar","4"
"43","10000736","Outer arm 3","1"
"--","10014904","Left single link","1"
"--","10014908","Right single link 5","1"
"44","10000264","Block","32"
"45","00002098","896B-38.1×146  Pin","4"
"46","00002884","Bolt  GB/T 16674  M10×100","2"
"47","10000252","Platform slider","4"
"48","00002572","Nut  GB/T 6183.1  M10","14"
