"Item","Part No.","Description","Qty."
"1","10011205","Cover","4"
"2","00001011","Screw  GB/T 973  M5×12","16"
"3","10014417","Pin","2"
"4","00000816","Bolt  GB/T 5783  M12×25","2"
"5","00000814","Washer  GB/T 97.1  12","8"
"6","00000815","Washer  GB/T 93  12","8"
"7","00006140","8812-909590A  Bearing","8"
"8","10011190","Washer","4"
"9","10014421","Washer","2"
"10","","Steer linkage and wheels assembly (refer to 102.1)","2"
"11","00000778","Washer  GB/T 97.1  4","4"
"12","00000779","Washer  GB/T 93  4","4"
"13","00001054","Screw  GB/T 70.1  M4×12","4"
"14","00000644","Rotary sensor","2"
"15","10011204","Sensor bracket","2"
"16","00002583","Washer  GB/T 96.1  6","4"
"17","00000621","Washer  GB/T 93  6","4"
"18","00000818","Bolt  GB/T 5783  M6×16","4"
"19","00004483","Grease nipple  GB/T 1152  M10×1","4"
"20","00006127","O-ring  GB/T 3452.1-14×1.8","4"
"21","00006126","Seal  GB/T 13871.1 FB 90 110 12  Ⅲ","4"
"22","10013705","Cover","2"
"23","00006425","Screw  GB/T 70.1  M12×35","6"
"24","10011202","Cover","2"
"25","00001856","Bolt  GB/T 5783  M12×50","6"
