"Item","Part No.","Description","Qty."
"1","00007241","Solenoid valve (SV6)","1"
"2","00007232","Valve body","1"
"3","00001073","Plug  VSTI14×1.5ED","2"
"4","00009541","Check valve (CV1, CV2, CV3)","3"
"5","00002998","Plug  SAE4","24"
"6","00008822","Lock sheet","2"
"7","00008823","Screw  GB/T 818  M6×8-H","2"
"8","00009546","Flow control valve (FC1)","1"
"9","00009526","Handle","2"
"10","00009528","Coil","5"
"11","00009542","Solenoid valve spool (SV7)","1"
"12","00003361","Plug  SAE6","7"
"13","00009531","Solenoid valve spool (SV10)","1"
"14","00007240","Relief valve (RV4)","1"
"15","00007149","Relief valve (RV1)","1"
"16","00009527","Coil","4"
"17","00009530","Solenoid valve spool (SV2, SV3, SV4, SV5)","4"
"18","00009529","Solenoid valve spool (SV1)","1"
"19","00007144","Relief valve (RV2, RV3)","2"
"20","00009544","Proportional valve (SV8, SV9)","2"
"21","00009545","Coil","4"
"22","00002999","Plug  SAE2","19"
"23","00004332","Plug  SAE10","1"
"24","00007143","Pilot-operated check valve (POC1, POC2, POC3, POC4)","4"
