"Item","Part No.","Description","Qty."
"1","00007214","Motor","2"
"2","00001748","Straight fitting","2"
"3","00005728","Pump","2"
"4","00000683","Bolt  GB/T 5783  M10×30","4"
"5","00000679","Washer  GB/T 93  10","12"
"6","00000615","Washer  GB/T 97.1  10","12"
"7","00001512","Straight fitting","2"
"8","00000684","Bolt  GB/T 5783  M10×35","8"
"9","00001055","Bolt  GB/T 5783  M12×40","8"
"10","00000815","Washer  GB/T 93  12","8"
"11","00000814","Washer  GB/T 97.1  12","8"
"12","00002162","Absorber","4"
"13","10013729","Motor bracket","1"
"14","10013734","Base plate","1"
