"序号","物料编码","名称及规格","版本","件数","备注"
"1","1140255309","胶管总成","A","1",""
"2","1140280693","胶管总成","A","1",""
"3","1140302682","胶管总成","A","1",""
"4","1140207108","胶管总成","A","1",""
"5","1140304892","胶管总成","A","1",""
"6","1140208507","胶管总成","A","1",""
"7","1140304893","胶管总成","A","1",""
"8","1011403164","胶管总成","A","1",""
"9","1140304894","胶管总成","A","1",""
"10","1140304895","胶管总成","A","1",""
"11","1140304896","胶管总成","A","1",""
"12","1011403168","胶管总成","A","1",""
"13","1011403169","胶管总成","A","1",""
"14","1140304897","胶管总成","A","1",""
"15","1140304897(2)","胶管总成","A","1",""
"16","1011403171","胶管总成","A","1",""
"17","1140302684","胶管总成","A","1",""
"18","1140302679","胶管总成","A","1",""
"19","1140302680","胶管总成","A","1",""
"20","1140250192","胶管总成","A","1",""
"21","1140302678","胶管总成","A","1",""
"22","1140231568","胶管总成","A","1",""
"23","1140254346","胶管总成","A","1",""
"24","1140208507(2)","胶管总成","A","1",""
"25","1140302678(2)","胶管总成","A","1",""
"26","02150605201220050","焊接钢管001","A","1",""
"27","02150605201220060","焊接钢管002","A","1",""
"28","02150605201220070","焊接钢管003","A","1",""
"29","02150605201220080","焊接钢管004","A","1",""
