"№ п/п","Код материалов","Наименование и спецификация  Версия  Кол-","","","во","Примечание"
"12","00771407011801203","Знак заправки топлива по стандарту 
выбросов Евро-V 2","","А","1",""
"19","00772707000201252","Знак шума -100dB","","А","1",""
"26","02554607071841020","Маркировка поворотной 
платформы ZT82J в сборе (на 
португальском языке)","","А","1",""
"27","02551707001801092","Бак дизельного топлива","","А","1",""
"28","00771407001801202","Идентификация заправки топлива","","А","1",""
"30","00773407001801522","Запуск при низкой температуре Ⅱ","","А","1",""
"31","00773407001801082","Описание светового индикатора 
земли","","А","1",""
"33","00773407001801142","Коробка управления рабочей 
платформой","","А","1",""
"34","00773407001801223","Описание светового индикатора 
платформы","","А","1",""
"36","02554607071841010","Маркировка платформы ZT82J в 
сборе (на португальском языке)","","А","1",""
"38","02551507031801112","Знак безопасности топливного бака","","А","1",""
"43","00771407001801162","Знак гидравлического бака","","B","2",""
"47","00771407001801342","Диагностическая система контроля 
выбросов","","А","1",""
"48","00771407001801362","Знак добавки смазочного масла, 
соответствующего стандарту 
выбросов Евро-V","","А","1",""
"49","00771407001801212","Знак предупреждения высокой 
температуры","","А","1",""
"50","00771407001801352","Меры предосторожности при 
использовании контрольных ламп 
приборов по стандарту выбросов 
Евро-V","","А","1",""
"51","02553207001801012","Предостережение о развертывании 
кронштейна двигателя","","А","1",""
"52","02553207001801022","Инструкции по развертыванию 
кронштейна двигателя","","А","1",""
"53","02553207001801032","Знак хомута","","А","2",""
"54","00775607001801323","Знак неизоляции","","А","2",""
"55","00771407001801012","QR-код на португальском языке","","А","1",""
"56","00771407001801373","Инструкции по доливке мочевины 
по стандарту выбросов Евро-V","","А","1",""
