"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"35","1029901278","Самозажимающийся крепежный 
элемент","B","2","UKJ-2G4(GY)"
"36","1029904980","Соединительный зажим","А","10","2004--1301"
"37","1022270003","Диодный соединительный зажим","А","3","281-665/281-400"
"38","1029908972","Соединительный зажим","B","5","UJ6-4/1×2JD"
"39","1020600107","Предохранитель","B","4","0287010"
"40","1020600110","Предохранитель","B","3","287030"
"41","1020602747","Предохранитель","B","4","287020"
"42","1020600109","Предохранитель","B","4","0287025"
"43","1020600116","Предохранитель","B","3","0287003"
"44","1020600074","Предохранитель","B","11","0287010"
"45","1022270264","Торцевая пластина","А","3","281--335"
"46","1029906870","Клемма предохранителя","А","23","2006-1681.1000-449"
"47","1022290054","Закорачивающая плита","А","30","2006--402"
"48","1029905163","Торцевая пластина","А","1","2006--1692"
