"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"1","02554606200513010","Положительный электрод 
аккумуляторной батареи подключен 
к пусковому двигателю.","А","1",""
"2","02554606200513020","Положительный полюс 
аккумулятора подключен к 
предохранители подогрева и 
двигателю","А","1",""
"3","02554606200513030","Соединительный провод между 
реле и подогревателем","А","1",""
"4","02554606200513040","Провод от отрицательного полюса 
аккумулятора к ручному 
переключателю","А","1",""
"5","02554606200513050","От ручного выключателя до 
перемычки металлизации","А","1",""
"6","02554606200513080","Последовательное соединение 
положительного и положительного 
полюсов","А","1",""
"7","02554606200513090","Последовательное соединение 
отрицательного и отрицательного 
полюсов","А","1",""
"8","02554606200513100","Заземление стартера","А","1",""
"9","02554606200513110","Соединительный провод между 
двигателем и металлизацией","А","1",""
"10","02554606200513120","Провод от предохранителя к реле 
аварийного насоса","А","1",""
"11","02554606200513130","Провод от реле аварийного насоса к 
аварийному насосу","А","1",""
"12","02554606200513140","Аварийный насос к линии 
заземления","А","1",""
