"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"1","01125746000252000","Поршневой шток","А","1",""
"2","1040101339","Винт","А","1","JB/T78-2000"
"3","01125746000250001","Поршень","А","1",""
"4","1081400895","Направляющее кольцо","А","1","KT200"
"5","1081007085","Поршневое уплотнительное кольцо","А","1","KDAS180155- 
NV8MS"
"6","1081000919","О-образное кольцо","А","1","GB/T3452.1-1992"
"7","1040301324","Стопорное кольцо","А","2","PW1-B"
"8","1081002038","О-образное кольцо","А","1","GB/T3452.1-2005"
"9","1081008509","Стопорное кольцо","А","1","PW1"
"10","01125746000250002","Направляющая втулка","А","1",""
"11","1081400846","Направляющее кольцо","А","2","KT200"
"12","1081006036","Уплотнительное кольцо STd","А","1","A16MR00650NHLX"
"13","1081010909","U-образное кольцо","А","1","ZBR"
"14","01125746000250003","Нажимная крышка","А","1",""
"15","1081005136","О-образное кольцо","А","1","GB/T3452.1-2005"
"16","1081201358","Пылезащитное кольцо","А","1","FD065073"
"17","01125746000251000","Корпус цилиндра","А","1",""
