"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"34","1029901278","Самозажимающийся крепежный 
элемент","B","2","UKJ-2G4(GY)"
"35","1029904980","Соединительный зажим","А","10","2004--1301"
"36","1022270003","Диодный соединительный зажим","А","3","281-665/281-400"
"37","1029908972","Соединительный зажим","B","5","UJ6-4/1×2JD"
"38","1020600107","Предохранитель","B","4","0287010"
"39","1020600110","Предохранитель","B","3","287030"
"40","1020602747","Предохранитель","B","4","287020"
"41","1020600109","Предохранитель","B","4","0287025"
"42","1020600116","Предохранитель","B","3","0287003"
"43","1020600074","Предохранитель","B","11","0287010"
"44","1022270264","Торцевая пластина","А","3","281--335"
"45","1029906870","Клемма предохранителя","А","23","2006-1681.1000-449"
"46","1022290054","Закорачивающая плита","А","30","2006--402"
"47","1029905163","Торцевая пластина","А","1","2006--1692"
