"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"1","1029900403","Защитная оболочка розетки","А","1","192900--0425"
"2","1029907616","Анеморумбограф","А","1","KKM-FA13BZZ- 
01M"
"3","1020710234","4-жильный штепсель","А","1","AT06-4S-RD01"
"4","1020202285","Датчик веса","А","1","SLB625D"
"5","1020704348","Шестижильная розетка","B","1","ATM04-6P"
"6","1020704347","Шестижильная розетка","B","1","ATM06-6S"
"7","1020704289","Защитная оболочка штепселя","B","1","ATM06-3S"
"8","1020704310","Защитная оболочка розетки","B","1","ATM04-3P"
"9","1021404015","Датчик угла наклона","C","1","MSS-530"
"10","1020710233","Защитная оболочка штепселя","А","2","AT06-3S-RD01"
"11","1020710228","Защитная оболочка розетки","А","1","AT04-3P-RD01"
"12","1020521022","Педальный переключатель","А","1","FS-5G-20-C(hole)"
"13","1020704361","Клеммная розетка","А","1","AT04-3P-RJ120"
"14","02554606200110010","Пучок кабелей рабочей платформы","А","1",""
