"№ п/п","Код материалов","Наименование и спецификация  Версия  Кол-","","","во","Примечание"
"11","1020605390","Пневматическая пружина","","А","22","000815"
"12","1040201382","Гайка","","А","24","JB/T6170-2000"
"13","1040301505","Шайба","","А","24","JB/T93-1987"
"14","1040302513","Шайба","","А","32","GB/T96.1-2002"
"15","00771401110001030","Прижимная планка","","C","12",""
"16","1040004520","Болт","","А","78","JB/T5783-2000"
"17","1040302480","Шайба","","B","136","GB/T96.1-2002"
"18","1040301510","Шайба","","А","36","JB/T93-1987"
"19","1040201089","Гайка","","А","54","JB/T6170-2000"
"20","00771401112601021","Петля II","","А","1",""
"21","00772701104001010","Петля I","","А","1",""
"22","00771401112601030","Штифт","","А","1",""
"23","1040202856","Гайка","","А","24","GB/T889.1-2000"
"24","1040303581","Шайба","","А","24","GB/T96.1-2002"
"25","1040004678","Дверной запорный болт","","А","12","M10×70"
"30","1040300771","Шайба","","А","53","GB/T97.1-2002"
"31","1040004517","Болт","","А","12","JB/T5783-2000"
"32","1040006017","Винт","","B","37","GB/T70.1-2000"
"35","1040004507","Болт","","А","2","JB/T5783-2016"
"37","1040200504","Гайка","","А","2","GB/T889.1-2000"
"39","1040004033","Болт","","А","11","JB/T5783-2000"
"40","1040302512","Шайба","","А","8","GB/T96.1-2002"
"45","00771401110001021","Монтажная плита лево-переднего 
сердечника замка","","B","3",""
"46","1109900766","Дверной замок аккумулятора","","А","4","50076-C38K"
"50","00771901100001330","Тяговый канат","","C","4",""
"53","1040200503","Гайка","","А","28","GB/T889.1-2000"
"57","1040301515","Шайба","","А","24","GB/T97.1-2002"
"60","02554601101400000","Сварка право-переднего капота II","","C","1",""
"63","02553201100001010","Планка для установки останова 
двери","","А","3",""
"70","00771601102001021","Круглая сталь","","B","1",""
"71","00771601101001012","Пластина","","B","1",""
"72","02554601100001080","Монтажная планка II","","А","2",""
"74","02554601101600000","Опора капота I","","А","2",""
"75","1040004518","Болт","","А","4","JB/T5783-2000"
"76","00771101120001010","Панель заглушки выхода дыма","","C","1",""
