"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"1","1010101004","Поворотный мотор","B","2","255100A1304BAAA 
AS(11 214147)"
"2","1040004029","Болт","А","4","JB/T5783-2000"
"3","1040301503","Шайба","А","4","JB/T93-1987"
"4","1030202553","Поворотный редуктор","А","2","I=65.2, 
T2n=9000Nm"
"5","1040102043","Винт","А","48","GB/T70.1-2000"
"6","1040302502","Шайба","А","20","JB/T1230-1991"
"7","1040002517","Болт","B","20","JB/T5782-2000"
"8","1040000577","Болт","А","2","JB/T5783-2000"
"9","1040201882","Гайка","А","2","JB/T6172-2000"
"10","1040301521","Шайба","А","96","JB/T1230-1991"
"11","1040009204","Болт","А","48","GB/T 1228-2006"
"12","1040009205","Болт","А","48","GB/T 1228-2006"
"13","1031500725","Поворотная опора","А","1","M=12, z=148"
"14","204060296","Автомобильное трансмиссионное 
масло Great Wall","А","1","GL-5 80W90 
(Только для 
тяжелых машин)"
"15","1040302490","Шайба","B","48","GB/T97.1-2002"
"16","00772700900001010","Монтажная плита редуктора","B","1",""
