"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"33","1029901278","Самозажимающийся крепежный 
элемент","B","2","UKJ-2G4(GY)"
"34","1029904980","Соединительный зажим","А","10","2004--1301"
"35","1022270003","Диодный соединительный зажим","А","3","281-665/281-400"
"36","1029908972","Соединительный зажим","B","5","UJ6-4/1×2JD"
"37","1020600107","Предохранитель","B","4","0287010"
"38","1020600110","Предохранитель","B","3","287030"
"39","1020602747","Предохранитель","B","4","287020"
"40","1020600109","Предохранитель","B","4","0287025"
"41","1020600116","Предохранитель","B","2","0287003"
"42","1020600074","Предохранитель","B","11","0287010"
"43","1022270264","Торцевая пластина","А","3","281--335"
"44","1029906870","Клемма предохранителя","А","22","2006-1681.1000-449"
"45","1022290054","Закорачивающая плита","А","29","2006--402"
"46","1029905163","Торцевая пластина","А","1","2006--1692"
