"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"39","1020103903","Контроллер","B","1","RC28-14/30"
"40","1040300062","Шайба","B","4","JB/T93-1987"
"41","1040300051","Шайба","А","4","GB/T97.1-2002"
"42","1020404405","Проблесковый зуммер","B","1","AD17- 
22SML/DC12VR"
"43","1029907643","Розетка","А","1","192900--0437"
"44","1022396084","Наконечник закрепления кабеля","А","1","HSK-M20B"
"45","1029906990","Штепсель ITT","А","1","192900--0074"
"46","1029805618","Розетка","А","1","T417111005-002"
"47","1020700974","Упорная планка","А","2","249--116"
"48","1029904980","Соединительный зажим","А","6","2004--1301"
"49","1029904920","ZDU2.5 Закорачивающая плита","А","1","2002--402"
"50","1020520942","Торцевая пластина","А","1","2002--1691"
"51","1029905392","Соединительный зажим","А","4","2002--1681"
"52","1020704265","3-проводная клеммная колодка 
заземления","А","3","2004--1307"
"53","1020605395","Предохранитель","А","3","297005"
"54","1020605394","Предохранитель","А","1","297010"
"55","1029904933","Упорная планка","А","3","2004--1392"
