"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"1","1029900403","Защитная оболочка розетки","А","1","192900--0425"
"2","1022270089","Штепсель ITT","А","2","192900--0055"
"3","1020709930","2-жильная розетка","А","9","AT06-2S-RD01"
"4","1022202106","Оболочка","А","2","282080--1"
"5","1022290278","26-жильный разъемный 
соединитель","А","1","2405028--1"
"6","1020709470","Оболочка","А","1","2445860--1"
"7","1020709929","2-жильный штепсель","А","3","AT04-2P-RD01"
"8","1020404399","Лампа предупреждения","B","1","JD90A-H03Y012"
"9","1020706847","Защитный чехол для входящего 
конеца 48P","А","1","2366509--1"
"10","1020522288","Концевой выключатель","А","1","ZCP21+ZCE01+ZC 
Y25+ZC PEP16"
"11","1029907518","Проводящее контактное кольцо","А","1","XC025-10-EN"
"12","1020710230","6-жильная розетка","А","1","AT04-6P-RD01"
"13","1020710235","6-жильный штепсель","А","1","AT06-6S-RD01"
"14","1020710239","4 штепселя высокого тока","А","1","ATP04-4P-RD01"
"15","1020710241","4 штепселя высокого тока","А","1","ATP06-4S-RD01"
"16","1029901593","О-образный голый терминал","А","1","GQ-OT2.5-8"
"17","1020710240","2 штепселя высокого тока","А","1","ATP06-2S-RD01"
"18","1021407544","Датчик давления","А","3","KM-XE1G-B04C-S- 
1-00- 00- 
XXXXX000-B50-"
"19","1020710234","4-жильный штепсель","А","4","AT06-4S-RD01"
"20","1039808417","Разъемный соединитель","А","1","1-1813099-1"
"21","1029901599","О-образный голый терминал","А","1","GQ-OT4-10"
"22","1021407047","Датчик угла наклона","А","1","MSS-520"
"23","1029901598","О-образный голый терминал","А","1","GQ-OT4-8"
"24","1020304982","Зуммер","B","1","GFB-202-G"
"25","1029901585","О-образный голый терминал","А","2","GQ-OT1.5-4"
"26","025546062K0510010","Пучок кабеля поворотной 
платформы","B","1",""
