"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"1","1020103955","Узлы разъема контроллера","А","1","R902603622"
"2","1020521753","Бесконтактный переключатель","А","4","NBB8-18GM50-E2"
"3","1020704310","Защитная оболочка розетки","B","8","ATM04-3P"
"4","1020704289","Защитная оболочка штепселя","B","8","ATM06-3S"
"5","1021407359","Датчик угла","А","4","Vert-X 31E6aK12 
121 402"
"6","1021404727","Датчик угла","А","4","Vert-X-2639"
"7","1029900318","Оболочка","А","4","282087--1"
"8","1029907518","Проводящее контактное кольцо","А","1","XC025-10-EN"
"9","1020710230","6-жильная розетка","А","1","AT04-6P-RD01"
"10","1020710235","6-жильный штепсель","А","1","AT06-6S-RD01"
"11","1020710239","4 штепселя высокого тока","А","1","ATP04-4P-RD01"
"12","1020710241","4 штепселя высокого тока","А","1","ATP06-4S-RD01"
"13","02554606200710010","Пучок кабелей шасси","А","1",""
