"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"1","1020709469","Оболочка","А","1","2445859--1"
"2","1020522288","Концевой выключатель","А","4","ZCP21+ZCE01+ZC 
Y25+ZC PEP16"
"3","1020704310","Защитная оболочка розетки","B","1","ATM04-3P"
"4","1020704289","Защитная оболочка штепселя","B","1","ATM06-3S"
"5","1021407544","Датчик давления","А","2","KM-XE1G-B04C-S- 
1-00- 00- 
XXXXX000-B50-"
"6","1020710234","4-жильный штепсель","А","2","AT06-4S-RD01"
"7","1020709930","2-жильная розетка","А","2","AT06-2S-RD01"
"8","1021406192","Датчик тягового троса","А","2","CET12.12500.2.6.1. 
X"
"9","1021405442","Датчик угла наклона","А","2","TLP300.2.V.360.6.2. 
R .0.N1"
"10","1020710237","12-жильный штепсель","А","1","AT06-12SX1-RD01"
"11","02554606200310011","Пучок кабеля стрелы","А","1",""
