"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1020706848","Защитный чехол для выходящего 
конца 48P","А","1","2366494--1"
"2","1029901585","О-образный голый терминал","А","2","GQ-OT1.5-4"
"3","1029901592","О-образный голый терминал","А","1","GQ-OT2.5-6"
"4","1029901587","О-образный голый терминал","А","1","GQ-OT1.5-6"
"5","1020706156","96-жильный кабель в оболочке","А","1","13964572"
"6","1020710233","3-жильный штепсель","А","2","AT06-3S-RD01"
"7","1020704361","Клеммная розетка","А","2","AT04-3P-RJ120"
"8","1020700110","Девятипозиционный соединитель","А","1","HD10-9-1939P"
"9","1020707355","4-жильный кабель в оболочке","А","1","F715600"
"10","1020706162","4-жильный кабель в оболочке","А","1","4-1418390-1"
"11","1020706161","4-жильный кабель в оболочке","А","1","2-1418390-1"
"12","1020706160","4-жильный кабель в оболочке","А","1","1-1418390-1"
"13","1029900002","Двухпозиционный корпус","А","1","282189--1"
"14","1022202106","Оболочка","А","1","282080--1"
"15","025546062K0510020","Пучок кабелей ECU","А","1",""
