"№ п/п","Код материалов","","Наименование и спецификация  Версия","Кол-
во","Примечание"
"1","1040103110","Винт","А","8","GB/T70.1-2000"
"2","1040301515","Шайба","А","18","GB/T97.1-2002"
"4","00772100200001200","Защитный кожух датчика","B","2",""
"79","00773402800001350","Подшипник","А","2",""
"80","02554000200001150","Прокладочное кольцо","А","1",""
"81","00773400200001010","Подшипник","D","8",""
"82","02554000200800099","Модель болта с потайной головкой","А","1","GB/T70.3-2008"
"83","00772700200001140","Прокладочное кольцо II","B","1",""
"84","00772700200001090","Подшипник","B","2",""
"85","02554000203000000","Цилиндр выравнивания платформы","B","1",""
"86","00772700201800000","Шатун II","B","1",""
"87","00772700201600000","Шатун II","B","1",""
"88","1010201694","Качающийся цилиндр","А","1","LS2-016-180- 
QMAJC-18 6700"
"89","00772700200001010","Шкворень I","C","2",""
"90","00772700200001030","Шкворень III","C","1",""
"91","00772700200001020","Шкворень II","C","1",""
"92","00772700200001101","Скоба I","B","2",""
"93","1040103076","Винт","А","4","GB/T70.3-2008"
"94","00773400300001200","Стопорный штифт","G","3",""
"95","1040004565","Болт","А","2","JB/T5783-2016"
"96","1040002434","Болт","А","1","JB/T5783-2016"
"97","02554000203200000","Штифт сварочный","А","1",""
