"№ п/п","Код материалов","Наименование и спецификация  Версия  Кол-","","","","во","Примечание"
"1","1039817848","Выводная шестерня","","","А","1",""
"2","1089800308","Пылезащитный колпачок 
подшипника","","","А","1",""
"3","1059800189","Цилиндрический подшипник 
NJ220E","","","А","1",""
"4","1089800309","Гнездо подшипника","","","А","1",""
"5","1089800310","О-образное кольцо d218*2.65","","","А","1",""
"6","1049804509","Стопорное кольцо для отверстия 
120","","","А","1",""
"7","1089800311","Сальник FB97* 120* 12","","","А","2",""
"8","1059800190","Подшипник NJ219M","","","А","1",""
"9","1049804510","Шайба выходного вала","","","А","1",""
"10","1049804511","Магнитная резьбовая заглушка 
M18*1.5","","","А","1",""
"11","1049804512","Сложная прокладка 18","","","А","1",""
"12","1049804513","Упорное кольцо для вала 80","","","А","1",""
"13","1089800312","О-образное кольцо d230*2.65","","","А","1",""
"14","1049804514","Стопорное кольцо для отверстия 
112*4","","","А","1",""
"15","1049804515","Винт с внутренним 
шестигранником M8*25 класс 8.8","","","А","12",""
"16","1049804516","Пружинная подстилка 8","","","А","12",""
"17","1039817849","Корпус поршня","","","А","1",""
"18","1049804517","Ограничительная прокладка","","","А","1",""
"19","1049804518","Регулировочная шайба","","","А","1",""
"20","1039817850","Поршень","","","А","1",""
"21","1039817851","Соединительный вал","","","А","1",""
"22","1089800313","О-образное кольцо d140*2.65","","","А","1",""
"23","1089800314","Входной фланец","","","А","1",""
"24","1089800315","Вентиляционная пробка M16* 1,5","","","А","1",""
"25","1049804519","Винт с внутренним 
шестигранником M10*60 класс 10,9","","","А","8",""
"26","1049804520","Пружинная подстилка 10","","","А","8",""
"27","1049804521","Нейлоновое упорное кольцо","","","А","1",""
"28","1089800316","О-образное кольцо (Фулун) 
d135.89*5.33","","","А","1",""
"29","1119800340","Большая пружина","","","А","14",""
"30","1119800341","Малая пружина","","","А","14",""
"31","1049804522","Нейлоновое упорное кольцо","","","А","1",""
"32","1089800317","О-образное кольцо (Фулун) 
d113.66*5.33","","","А","1",""
"33","1039817852","Позиционирующий фильм","","","А","5",""
"34","1039817853","Подвижный фильм","","","А","4",""
"35","1039817854","Зубчатый обод","","","А","1",""
