"№ п/п","Код материалов","","Наименование и спецификация  Версия  Кол-","во","Примечание"
"1","1022270089","Штепсель ITT","А","1","192900--0055"
"2","1020706160","4-жильный кабель в оболочке","А","1","1-1418390-1"
"3","1020710233","Защитная оболочка штепселя","А","3","AT06-3S-RD01"
"4","1020704361","Клеммная розетка","А","3","AT04-3P-RJ120"
"5","1020706390","3-жильный кабель в оболочке","А","1","61890099"
"6","1029901593","О-образный голый терминал","А","1","GQ-OT2.5-8"
"7","1029901587","О-образный голый терминал","А","1","GQ-OT1.5-6"
"8","1029901585","О-образный голый терминал","А","2","GQ-OT1.5-4"
"9","1020520312","94-контактный разъемный 
соединитель","А","1","3-1534904-4"
"10","1020709930","2-жильная розетка","А","1","AT06-2S-RD01"
"11","1020706848","Защитный чехол для выходящего 
конца 48P","А","1","2366494--1"
"12","1020705821","Оболочка","А","1","12162197"
"13","1029900002","Двухпозиционный корпус","А","1","282189--1"
"14","1022202106","Оболочка","А","1","282080--1"
"15","02554606200510021","Пучок кабелей ECU","А","1",""
