"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02551507030401112","Знак безопасности топливного 
бака","А","2",""
"3","00773407000401512","Запуск при низкой температуре","А","1",""
"6","00773407000401082","Описание светового индикатора 
земли","А","1",""
"11","00775607000401322","Знак неизоляции","B","2",""
"12","00771407000401192","QR-код","А","1",""
"16","02552907070441210","Маркировка капота ZT51J в 
сборе","B","1",""
"24","02552907070441220","Маркировка платформы ZT51J в 
сборе","B","1",""
"28","00773407000401222","Описание светового индикатора 
платформы","А","1",""
"29","00771407000401372","Инструкции по доливке 
мочевины по стандарту 
выбросов Евро-V","А","1",""
"35","00771407000401162","Гидравлический бак","А","2",""
"36","00773407000401142","Коробка управления рабочей 
платформой","А","1",""
"45","02553207000401012","Предостережение о 
развертывании кронштейна 
двигателя","А","1",""
"46","02553207000401022","Инструкции по развертыванию 
кронштейна двигателя","А","1",""
"47","02553207000401032","Знак хомута","А","2",""
"51","00771407000401352","Меры предосторожности при 
использовании контрольных 
ламп приборов по стандарту 
выбросов Евро-V","А","1",""
"52","00771407000401202","Идентификация заправки 
топлива","А","1",""
"53","00771407000401212","Знак предупреждения высокой 
температуры","А","1",""
"54","00771407000401362","Знак добавки смазочного масла, 
соответствующего стандарту 
выбросов Евро-V","А","1",""
"55","00771407000401342","Диагностическая система 
контроля выбросов","А","1",""
