"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"72","1040100367","Винт","А","1",""
"73","00772700200800001","Поршень","А","1",""
"74","1040100369","Винт","А","1",""
"75","00772700200800005","Стопорный стержень","А","1",""
"76","1081007304","Поршневое уплотнительное 
кольцо","А","1",""
"77","1081401902","Направляющее кольцо","А","1",""
"78","1081000438","О-образное кольцо","А","1","PPT-1"
"79","1081008201","Стопорное кольцо","А","2",""
"80","011299966A5150009","Прижимная планка магнитного 
кольца","А","1",""
"81","1019901586","Кольцевой магнит","А","1",""
"82","011299966A5150008","Прокладка для магнитного 
кольца","А","1",""
"83","02552900200806000","Поршневой шток","А","1",""
"84","1149800770","Металлический 
водонепроницаемый резьбовой 
соединитель","А","1",""
"85","02552900200801000","Корпус цилиндра","А","1",""
"86","1021405688","Датчик смещения","А","1",""
"87","1040300324","Стопорное кольцо","А","1",""
"88","1054400112","Комбинированная втулка","А","1",""
"89","1081001674","О-образное кольцо","А","1",""
"90","1081008765","Стопорное кольцо","А","1",""
"91","1081006037","Уплотнительное кольцо STd","А","1",""
"92","1081004483","Уплотнительные узлы стержня 
поршня модели ZBR","А","1",""
"93","1081201115","Пылезащитное кольцо","А","1",""
"94","1081000450","О-образное кольцо","А","1",""
"95","00772700200800002","Направляющая втулка","А","1",""
