"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"9","1040005831","Болт","А","32","JB/T5789-1986"
"11","02552902800400001","Выносная опора I","B","2",""
"19","1040302489","Шайба","B","5","GB/T97.1-2002"
"28","00772702800001170","Подшипник, не требующий 
смазки II","А","32",""
"30","00772702800001060","Штифт V","B","8",""
"31","00773400400001250","Стопорный штифт","E","16",""
"32","1040002446","Болт","А","16","JB/T5783-2000"
"33","00772702800001181","Прокладочное кольцо I","А","8",""
"34","00772702800001040","Штифт IV","B","8",""
"38","00772702801200000","Цилиндр выдвижения и 
втягивания выносной опоры","А","4",""
"40","1040103254","Винт","А","4","GB/T70.1-2000"
"41","00772702800001160","Уплотнительная пластина II","А","4",""
"42","1040004523","Болт","А","8","JB/T5783-2000"
"43","00772702800001250","Нейлоновый блок","А","2",""
"44","1040301502","Шайба","А","4","JB/T93-1987"
"45","00772702800001191","Прокладочное кольцо II","А","4",""
"46","00772702800001240","Монтажный кожух","А","8",""
