"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","00771600122301180","Стержень столкновения","B","1",""
"2","1040201896","Гайка","А","12","GB/T889.1-2015"
"3","1040300771","Шайба","А","24","GB/T97.1-2002"
"4","00771600132301080","Соединительная плита","B","2",""
"5","1040103123","Винт","А","2","GB/T70.2-2000"
"6","1040201772","Гайка","А","4","JB/T6170-2000"
"7","1040002555","Болт","А","18","JB/T5783-2000"
"8","00771600122301190","Ограничительный блок","А","2",""
"9","00771600122301200","Кронштейн I","B","1",""
"10","1040300735","Шайба","А","6","GB/T96.1-2002"
"11","1159901036","Пружинная петля","А","2","HSL-4100-7K"
"12","00771600122301250","Сварная деталь 
ограничительной пластины I","B","1",""
"13","00771600122301260","Сварная деталь 
ограничительной пластины II","B","1",""
"14","00771600122301230","Кронштейн II","B","1",""
"15","1040001631","Болт","А","4","JB/T5783-2000"
"16","00771400112301150","Хомут стальной трубы","А","2",""
"17","1040302410","Шайба","А","4","GB/T97.1-2002"
"18","1040102776","Винт","А","4","GB/T70.1-2000"
