"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02552905201821010","Гнутая пластина","А","1",""
"2","02552905201811020","Задняя панель","А","1",""
"3","00771405201611100","Монтажная нижняя пластина 
фильтра","А","1",""
"4","00772705211811090","Фундаментная плита для 
установки крышки","А","2",""
"5","00771405201611030","Опорная плита для установки 
измерителя уровня жидкости","А","2",""
"6","00771405201611080","Гнездо штепселя G11/2","А","1",""
"7","00771405201611120","Гнездо штепселя G1","А","1",""
"8","00771405201611050","Гнездо штепселя G1/2","А","3",""
"9","00771405201611060","Гнездо штепселя G3/8","А","1",""
"10","00771405201611130","Гнездо штепселя G1/4","А","2",""
"11","00771405201611070","Седло для слива масла","А","2",""
"12","02552905201821040","Правобоковая планка","А","1",""
"13","00772705211811070","Подкладка","А","1",""
"14","00771405201611170","Подвесная плита","B","4",""
"15","00772705211811080","Гнездо штепселя G3/4","А","1",""
"16","00772705211801100","Каучуковая прокладка крышки","А","2",""
"17","00772705211821010","Крышка","А","2",""
"18","00771405251621020","Опорная пластина для 
установки воздушного фильтра","А","2",""
"19","1019901354","Уровнемер-термометр","А","2","FSA-176-1.0/T/10"
"20","1010601139","Обратный масляный фильтр","А","1","RFMON185B 
D10A1.0/-V 300"
"21","1040301515","Шайба","А","22","GB/T97.1-2002"
"22","1040301510","Шайба","А","22","JB/T93-1987"
"23","1040004518","Болт","А","20","JB/T5783-2000"
"24","1040004519","Болт","А","2","JB/T5783-2000"
"25","1149901683","Прямой соединитель","А","1","GE42LREDOMDCF"
"26","1140103362","Прямой соединитель","А","2","GE28LREDOMDCF"
"27","1140101464","Прямой соединитель","А","2","GE15LREDOMDCF"
"28","1140101462","Прямой соединитель","А","1","GE12LREDOMDCF"
"29","1140111237","Прямой соединитель","А","2","GE08LREDOMDCF"
"30","1140107416","Заглушка с внутренней 
шестигранной головкой","А","3","VSTI1/2EDCF"
"31","1010500489","Воздушный фильтр","А","2","EFB480H150-W"
"32","1140101707","Прямой соединитель","А","1","GE22LREDOMDCF"
