"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02552907131201070","Обратный водовод I","А","1",""
"2","1009901980","Трубопровод мочевины","А","1","A050U280"
"3","1009901979","Трубопровод мочевины","А","1","A058X228"
"4","1000301276","Клапан охлаждения","А","1","A047U821"
"5","02553207101201160","Поддержающая плита клапана 
охлаждающей жидкости","А","1",""
"6","1040201896","Гайка","А","2","GB/T889.1-2015"
"7","1000401019","Насос мочевины","А","1","A060B584"
"8","02553207101201140","Гнутая пластина I","B","1",""
"9","1040004520","Болт","А","2","JB/T5783-2000"
"10","1040202855","Гайка","А","9","GB/T889.1-2000"
"11","1040104080","Винт","А","3","GB/T70.1-2000"
"12","1040300514","Шайба","А","3","GB/T97.1-2002"
"13","1040303580","Шайба","А","11","GB/T96.1-2002"
"14","1040103118","Винт","А","3","GB/T70.1-2000"
"15","1040300771","Шайба","А","2","GB/T97.1-2002"
"16","1040001631","Болт","А","2","JB/T5783-2000"
"17","02553207101201101","Водовыпускная труба III","C","1",""
"18","02553207101201130","Натяжной ремень","А","2",""
"19","02552907131201080","Водовыпускная труба","А","1",""
"20","1000200852","Трубопровод мочевины","А","1","A058T901"
"21","02553207101201122","Обратный водовод III","B","1",""
"22","1990202281","Хомут спирального червяка","А","12","SX9/W4/20-32"
"23","02553207101201041","Водозаборная труба","А","1",""
"24","1029902994","Бандажная лента","А","10","CHS-
4*200(черный)"
"25","02553207101201111","Обратный водовод II","А","1",""
"26","02553207101201090","Тройник","А","2",""
"27","02553207101201061","Водозаборная труба I","А","1",""
"28","1990202279","Хомут спирального червяка","А","2","SX9/W4/12-20"
