"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"111","1040100366(3)","Винт","А","1",""
"112","00772700201000001","Поршень","А","1",""
"113","1081009073","Поршневое уплотнительное 
кольцо","А","1",""
"114","1081401903","Направляющее кольцо","А","1",""
"115","1081000568","О-образное кольцо","А","1",""
"116","1081007687","Стопорное кольцо","А","2",""
"117","1040103036","Винт","А","4",""
"118","1019901583","Кольцевой магнит OD33","А","1",""
"119","00772700201000006","Прокладка для магнитного 
кольца","А","1",""
"120","00772700201006000","Поршневой шток","А","1",""
"121","1040101782","Винт","А","1",""
"122","1149800770(3)","Металлический 
водонепроницаемый резьбовой 
соединитель","А","1",""
"123","02552900201001000","Корпус цилиндра","А","1",""
"124","1040101340","Винт","А","1",""
"125","1021404749","Датчик смещения","А","1",""
"126","1081002069","О-образное кольцо","А","1",""
"127","1081008151","Стопорное кольцо","А","1",""
"128","1081401895","Направляющее кольцо","А","2",""
"129","1081007317","Уплотнительное кольцо STd","А","1",""
"130","1081010899","U-образное кольцо","А","1",""
"131","1081200968","FL Пылезащитное кольцо","А","1",""
"132","1081000913","О-образное кольцо","А","1",""
"133","00772700201000002","Направляющая втулка","А","1",""
