"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1031500422","Поворотная опора","А","1","011.45.1250.121.04. 
1 5F1"
"2","1040301521","Шайба","А","80","JB/T1230-1991"
"3","1040006365","Болт","А","40","JB/T1228-1991"
"4","1040006345","Болт","А","40","JB/T1228-1991"
"5","1040004029","Болт","А","4","JB/T5783-2000"
"6","1040301503","Шайба","А","4","JB/T93-1987"
"7","1010101004","Поворотный мотор","B","2","255100A1304BAAA 
AS(11 214147)"
"8","1040002517","Болт","А","20","JB/T5782-2000"
"9","1040302502","Шайба","А","20","JB/T1230-1991"
"10","1040102043","Винт","А","48","GB/T70.1-2000"
"11","1040302490","Шайба","B","48","GB/T97.1-2002"
"12","1030202553","Поворотный редуктор","А","2","JH17-65-06"
"13","00772700900001010","Монтажная плита редуктора","А","1",""
"14","1040000577","Болт","А","2","JB/T5783-2000"
"15","1040201882","Гайка","А","2","JB/T6172-2000"
"16","204060296","Автомобильное 
трансмиссионное масло Great 
Wall","А","3,5","Трансмиссионное 
масло без 
указания"
