"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"96","1040100366","Винт","А","1",""
"97","00772700201200001","Поршень","А","1",""
"98","1081000573","О-образное кольцо","А","1",""
"99","1081401896","Направляющее кольцо","А","1",""
"100","1081009071","Поршневое уплотнительное 
кольцо","А","1",""
"101","00772500201206000","Поршневой шток","А","1",""
"102","00772500201201000","Корпус цилиндра","А","1",""
"103","1040102159","Винт","А","4",""
"104","1040300183","Шайба","А","4",""
"105","1081401889","Направляющее кольцо","А","3",""
"106","1081000436","О-образное кольцо","А","1",""
"107","1081007312","Уплотнительное кольцо STd","А","1",""
"108","1081010898","U-образное кольцо","А","1",""
"109","1081201012","Пылезащитное кольцо","А","1",""
"110","00772700201200002","Направляющая втулка","А","1",""
