"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"3","02552900300600002","Сварной элемент стрелы 
третьей секции","B","1",""
"26","1040302490","Шайба","B","15","GB/T97.1-2002"
"45","00771600301001470","Износостойкая прокладка  Ⅱ","B","16",""
"49","1040101643","Винт","А","8","GB/T70.1-2000"
"51","00772700302201211","Подшипник, не требующий 
смазки","А","4",""
"64","02552900302310000","Гнездо крепления троса 
выдвигающей стрелы","А","1",""
"65","1040004644","Болт","А","4","JB/T5783-2000"
"66","02552900302201340","Оцинкованный стальной трос 
для втягивающей башенной 
стрелы","А","1",""
"67","00772700302270000","Шкив втягивающей третьей 
стрелы","B","2",""
"68","00772700302201370","Упорная планка для троса I","B","1",""
"69","00772700301890000","Осеп шкива втягивающей 
стрелы","B","2",""
"70","1040302489","Шайба","B","38","GB/T97.1-2002"
"71","1040002434","Болт","А","6","JB/T5783-2016"
