"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1010310773","Обратный клапан","А","1",""
"2","1010310774","Компенсационный клапан","А","1",""
"3","1010310775","Обратный клапан 
гидравлического управления","А","1",""
"4","1010312776","Редукционный клапан","А","1",""
"5","1010310777","Y-образный пластинчатый 
клапан диаметром 10","А","3",""
"6","1010306547","Переливной клапан","А","6",""
"7","1019803183","Переливной клапан","А","1",""
"8","1010306554","Обратный клапан","А","3",""
"9","1010310778","Обратный клапан","А","1",""
"10","1010306554","Обратный клапан","А","1",""
"11","1010307951","Обратный клапан","А","2",""
"12","1010306784","Электромагнитный клапан","А","1",""
"13","1010310779","Электромагнитный клапан","А","2",""
"14","1010306864","Электромагнитный клапан","А","1",""
"15","1010310781","Катушка","А","2",""
"16","1019808351","Катушка","А","3",""
"17","1019809032","Катушка","А","2",""
"18","1010310790","Железная пробка, стойкая к 
падению клея","А","22",""
"19","1010310791","Железная пробка, стойкая к 
падению клея","А","14",""
"20","1010310792","Железная пробка, стойкая к 
падению клея","А","12",""
"21","1010310793","Железная пробка, стойкая к 
падению клея","А","7",""
"22","1010310780","Электромагнитный клапан","А","1",""
"23","1019816866","Заглушка","А","1",""
